Year,All,Panulirus argus,Panulirus argus_2,Panulirus argus_3,Lutjanus synagris,Lobatus gigas,Lobatus gigas_2,Ocyurus chrysurus
1950,437652275.2,NA,NA,NA,NA,NA,NA,NA
1951,543912704.8,NA,NA,NA,NA,NA,NA,NA
1952,406652721.5,NA,NA,NA,NA,NA,NA,NA
1953,341019069.6,NA,NA,NA,NA,NA,NA,NA
1954,364484081.5,NA,NA,NA,NA,NA,NA,NA
1955,336906159.1,NA,NA,NA,NA,NA,NA,NA
1956,481422747.1,NA,NA,NA,NA,NA,NA,NA
1957,328101292.8,NA,NA,NA,NA,NA,NA,NA
1958,362403232.7,NA,NA,NA,NA,NA,NA,NA
1959,448860499.8,NA,NA,NA,NA,NA,NA,NA
1960,697635200.5,NA,NA,NA,NA,NA,NA,NA
1961,587663097,NA,NA,NA,NA,NA,NA,NA
1962,408836411.6,NA,NA,NA,NA,NA,NA,NA
1963,349012701.7,NA,NA,NA,NA,NA,NA,NA
1964,490358757.3,NA,NA,NA,NA,NA,NA,NA
1965,481322464.8,NA,NA,NA,NA,NA,NA,NA
1966,742752304.3,NA,NA,NA,NA,NA,NA,NA
1967,592926119.2,NA,NA,NA,NA,NA,NA,NA
1968,747280062.5,NA,NA,NA,NA,NA,NA,NA
1969,566041801.7,NA,NA,NA,NA,NA,NA,NA
1970,1194656033,NA,NA,NA,NA,NA,NA,NA
1971,552018679.7,NA,NA,NA,NA,NA,NA,NA
1972,773169371.6,NA,NA,NA,NA,NA,NA,NA
1973,1083150947,55666,NA,NA,NA,NA,NA,NA
1974,704045089.3,57685,NA,NA,NA,NA,NA,NA
1975,662366236,53633,NA,NA,NA,NA,NA,NA
1976,1007987412,52280,NA,NA,NA,NA,NA,NA
1977,761830012,49408,NA,0.42,NA,NA,NA,NA
1978,932919881.5,50585,NA,0.62,NA,NA,NA,NA
1979,1203489133,46364,NA,0.89,NA,NA,NA,NA
1980,695787992.1,47034,NA,0.64,NA,NA,NA,NA
1981,1531186148,47368,NA,0.63,143530.4,NA,NA,143530.36
1982,1830168703,45847,NA,0.44,133162.7,NA,NA,133162.73
1983,1307874499,49047,NA,0.57,149621.5,NA,NA,149621.47
1984,1115380939,48873,NA,0.41,159020,NA,NA,159020
1985,787436671.1,47352,NA,0.19,169358.4,NA,NA,169358.39
1986,1171431362,46167,NA,0.26,158992.1,NA,NA,158992.08
1987,943736879.3,45657,NA,0.26,174978.9,NA,NA,174978.89
1988,1069758608,43123,NA,0.2,176845.3,NA,NA,176845.31
1989,850483434.4,41938,NA,0.3,159892.1,NA,NA,159892.06
1990,1013413224,33331,4837,0.43,158937.6,NA,NA,158937.58
1991,846263261.5,32821,4040,0.58,133512.4,NA,NA,133512.36
1992,1062091881,31806,9375,0.72,145262.5,NA,NA,145262.52
1993,1419190318,31464,9625,0.51,90188.7,NA,NA,90188.7
1994,1156004908,36183,10398,0.56,118410.9,NA,NA,118410.89
1995,794080464.3,39215,12411,0.37,124984.6,NA,NA,124984.55
1996,757443872,43090,10347,0.22,115091.5,191141,NA,115091.49
1997,876660589.7,44605,10185,0.27,97665,153636,NA,97664.99
1998,916891986.3,46288,10868,0.4,88709.1,195578,NA,88709.13
1999,947466120.7,47633,11808,0.31,80690.5,241818,NA,80690.47
2000,1678767438,44593,13763,0.37,66564.8,209684,NA,66564.75
2001,1816872046,36155,14486,0.42,74082.3,189353,NA,74082.25
2002,1498628583,36320,11941,0.22,69359.1,220557,NA,69359.055
2003,1920520664,31424,13566,0.38,71229.5,227069,NA,71229.45
2004,1197759262,30240,12199,0.39,69336.5,193858,NA,69336.45
2005,1068065621,26524,9508,0.48,65557.1,228294,NA,65557.1
2006,1480901489,26014,8921,NA,63661.4,241246,NA,63661.44
2007,1086391473,22500,7877,NA,57998.4,238091,34,57998.39
2008,1011119168,18416,7338,NA,61265.9,258563,37,61265.945
2009,1432091213,20098,7158,NA,54661.7,312316,322,54661.71
2010,1045411975,18408,6335,NA,60767.4,280172,607,60767.438
2011,932531063.5,18741,7235,NA,63575,292056,676,63575.03
2012,830886008.2,17219,6895,NA,55092.4,NA,1080,55092.42
2013,1101042971,17215,7589,NA,53666,NA,955,53666.027
2014,1017025026,16874,9455,NA,52710.2,NA,865,52710.223
2015,1219535067,16532,9542,NA,NA,NA,685,NA
2016,NA,NA,10854,NA,NA,NA,555,NA
2017,NA,NA,11453,NA,NA,NA,757,NA
2018,NA,NA,11606,NA,NA,NA,902,NA
2019,NA,NA,13341,NA,NA,NA,983,NA
