year,stock,capture,taxa,effort
1951,Callinectes sapidus,0.01,Callinectes sapidus,NA
1951,Centropomus spp,0.01,Centropomus spp,NA
1951,Coryphaena hippurus,1012,Coryphaena hippurus,NA
1951,Hirundichthys affinis,1800,Hirundichthys affinis,NA
1951,Holothuriidae,0.01,Holothuriidae,NA
1951,Lobatus gigas,0.01,Lobatus gigas,NA
1951,Lobatus gigas2,0.01,Lobatus gigas2,NA
1951,Lobatus gigas3,0.01,Lobatus gigas3,NA
1951,Lobatus gigas4,0.01,Lobatus gigas4,NA
1951,Lobatus gigas5,530,Lobatus gigas5,NA
1951,Lobatus gigas6,0.01,Lobatus gigas6,NA
1951,Lutjanus campechanus,0.01,Lutjanus campechanus,NA
1951,Menticirrhus littoralis,1616,Menticirrhus littoralis,NA
1951,Mugil cephalus,0.01,Mugil cephalus,NA
1951,Octopus spp,0.01,Octopus spp,NA
1951,Opisthonema oglinum,0.001,Opisthonema oglinum,NA
1951,Panulirus argus,1100,Panulirus argus,NA
1951,Panulirus argus2,300,Panulirus argus2,NA
1951,Panulirus argus3,1505,Panulirus argus3,NA
1951,Sardinella aurita,16000,Sardinella aurita,NA
1951,Thunnus atlanticus,900,Thunnus atlanticus,NA
1952,Callinectes sapidus,0.01,Callinectes sapidus,NA
1952,Centropomus spp,0.01,Centropomus spp,NA
1952,Coryphaena hippurus,1312,Coryphaena hippurus,NA
1952,Hirundichthys affinis,2600,Hirundichthys affinis,NA
1952,Holothuriidae,0.01,Holothuriidae,NA
1952,Lobatus gigas,0.01,Lobatus gigas,NA
1952,Lobatus gigas2,0.01,Lobatus gigas2,NA
1952,Lobatus gigas3,0.01,Lobatus gigas3,NA
1952,Lobatus gigas4,0.01,Lobatus gigas4,NA
1952,Lobatus gigas5,530,Lobatus gigas5,NA
1952,Lobatus gigas6,0.01,Lobatus gigas6,NA
1952,Lutjanus campechanus,0.01,Lutjanus campechanus,NA
1952,Menticirrhus littoralis,2390,Menticirrhus littoralis,NA
1952,Mugil cephalus,0.01,Mugil cephalus,NA
1952,Octopus spp,0.01,Octopus spp,NA
1952,Opisthonema oglinum,0.001,Opisthonema oglinum,NA
1952,Panulirus argus,1300,Panulirus argus,NA
1952,Panulirus argus2,300,Panulirus argus2,NA
1952,Panulirus argus3,831,Panulirus argus3,NA
1952,Sardinella aurita,13000,Sardinella aurita,NA
1952,Thunnus atlanticus,900,Thunnus atlanticus,NA
1953,Callinectes sapidus,0.01,Callinectes sapidus,NA
1953,Centropomus spp,0.01,Centropomus spp,NA
1953,Coryphaena hippurus,1313,Coryphaena hippurus,NA
1953,Hirundichthys affinis,2300,Hirundichthys affinis,NA
1953,Holothuriidae,0.01,Holothuriidae,NA
1953,Lobatus gigas,0.01,Lobatus gigas,NA
