Stock,yr,bbmsy,ffmsy,bbmsy.effEdepP,ffmsy.effEdepP
Opisthonema oglinum,1951,1.35990928035972,4.28963725112352e-08,1.35990928035972,4.28963725112352e-08
Opisthonema oglinum,1952,1.6458774632548,3.54432066628068e-08,1.6458774632548,3.54432066628068e-08
Opisthonema oglinum,1953,1.78387032896536,3.27014660900999e-08,1.78387032896536,3.27014660900999e-08
Opisthonema oglinum,1954,1.86689149761159,3.12472230691646e-08,1.86689149761159,3.12472230691646e-08
Opisthonema oglinum,1955,1.89550864039222,3.07754730464988e-08,1.89550864039222,3.07754730464988e-08
Opisthonema oglinum,1956,1.90411946179779,0.101651243407529,1.90411946179779,0.101651243407529
Opisthonema oglinum,1957,1.79744219868252,0.228966839897929,1.79744219868252,0.228966839897929
Opisthonema oglinum,1958,1.64007059310711,0.0837642829957795,1.64007059310711,0.0837642829957795
Opisthonema oglinum,1959,1.73714762314083,0.0985938510517186,1.73714762314083,0.0985938510517186
Opisthonema oglinum,1960,1.75407489939223,0.187070324016694,1.75407489939223,0.187070324016694
Opisthonema oglinum,1961,1.67099859830217,0.0653522078626276,1.67099859830217,0.0653522078626276
Opisthonema oglinum,1962,1.76448651005245,0.0165303545080836,1.76448651005245,0.0165303545080836
Opisthonema oglinum,1963,1.84810795783108,0.0157824046005023,1.84810795783108,0.0157824046005023
Opisthonema oglinum,1964,1.88018060495927,0.0155131839244401,1.88018060495927,0.0155131839244401
Opisthonema oglinum,1965,1.88503948811955,0.0150708939727862,1.88503948811955,0.0150708939727862
Opisthonema oglinum,1966,1.88534512019162,0.0362323530463911,1.88534512019162,0.0362323530463911
Opisthonema oglinum,1967,1.87568912448937,0.267496801171202,1.87568912448937,0.267496801171202
Opisthonema oglinum,1968,1.60953287186944,0.253451101500809,1.60953287186944,0.253451101500809
Opisthonema oglinum,1969,1.56500845195991,0.174669108044817,1.56500845195991,0.174669108044817
Opisthonema oglinum,1970,1.60937489201149,0.0942424639153542,1.60937489201149,0.0942424639153542
Opisthonema oglinum,1971,1.71736143617163,0.169839539432765,1.71736143617163,0.169839539432765
Opisthonema oglinum,1972,1.67642666166101,0.35145305291278,1.67642666166101,0.35145305291278
Opisthonema oglinum,1973,1.46839438585124,0.067536214097253,1.46839438585124,0.067536214097253
Opisthonema oglinum,1974,1.6433138692267,0.0716359701572293,1.6433138692267,0.0716359701572293
Opisthonema oglinum,1975,1.72148187660979,0.106098957898698,1.72148187660979,0.106098957898698
Opisthonema oglinum,1976,1.7345810906197,0.270760760072187,1.7345810906197,0.270760760072187
Opisthonema oglinum,1977,1.56649620792202,0.0758936320401481,1.56649620792202,0.0758936320401481
Opisthonema oglinum,1978,1.70294645959757,0.0231566753765431,1.70294645959757,0.0231566753765431
Opisthonema oglinum,1979,1.80276489379436,0.0106136620972672,1.80276489379436,0.0106136620972672
Opisthonema oglinum,1980,1.86130488306152,0.080107621723025,1.86130488306152,0.080107621723025
Opisthonema oglinum,1981,1.80009273874951,0.0214208689876967,1.80009273874951,0.0214208689876967
Opisthonema oglinum,1982,1.860185166222,0.00555069794942966,1.860185166222,0.00555069794942966
Opisthonema oglinum,1983,1.88887865727795,0.0450281360991436,1.88887865727795,0.0450281360991436
Opisthonema oglinum,1984,1.85839889848022,0.0516051897665575,1.85839889848022,0.0516051897665575
Opisthonema oglinum,1985,1.84254827346142,0.0554367519277121,1.84254827346142,0.0554367519277121
Opisthonema oglinum,1986,1.84063061068692,0.0118531960460603,1.84063061068692,0.0118531960460603
Opisthonema oglinum,1987,1.89560297581591,0.0233574215932194,1.89560297581591,0.0233574215932194
Opisthonema oglinum,1988,1.88479833494466,0.0410401689724928,1.88479833494466,0.0410401689724928
Opisthonema oglinum,1989,1.86335288355582,0.106849300675728,1.86335288355582,0.106849300675728
Opisthonema oglinum,1990,1.79130484853165,0.139869870356652,1.79130484853165,0.139869870356652
